"id","disciplina","professor","carga_horaria","laboratorio"
"1","Banco de Dados","Marcos Lima","80","Laboratório A4"
"8","Empreendedorismo","Renato Vasconcelos","40","Laboratório A4"
"5","Engenharia de Software","Rafael Melo","60","Laboratório A6"
"9","Fundamentos de Administração","Camila Torres","60","Laboratório A9"
"4","Lógica de Programação","Patrícia Gomes","80","Laboratório A9"
"2","Programação Web","Fernanda Oliveira","80","Laboratório A3"
"10","Projeto Integrador","Fernanda Oliveira","100","Laboratório A5"
"3","Redes de Computadores","Carlos Souza","60","Laboratório A7"
"6","Segurança da Informação","André Barros","60","Laboratório A8"
"7","Sistemas Operacionais","Luciana Freire","60","Laboratório A10"
